sondeur,source,date début,date fin,échantillon,François Fillon,Marine Le Pen
Ifop-Fiducial,"Ifop – Fiducial pour iTELE, Paris Match et Sud Radio",2017-01-03,2017-01-06,1860,64,36
BVA,BVA,2017-01-06,2017-01-08,946,63,37
Ipsos,Ipsos / Sopra Steria pour France 2,2017-01-20,2017-01-20,1443,62,38
Kantar Sofres - OnePoint,"Kantar Sofres – OnePoint pour Le Figaro, RTL et LCI",2017-01-26,2017-01-27,1032,60,40
Elabe,ELABE pour LES ECHOS et RADIO CLASSIQUE,2017-01-30,2017-01-31,993,59,41
Ifop-Fiducial,"Ifop – Fiducial pour iTELE, Paris Match et Sud Radio",2017-01-29,2017-02-01,1409,60,40
Ifop-Fiducial,"Ifop – Fiducial pour iTELE, Paris Match et Sud Radio",2017-01-30,2017-02-02,1414,59,41
BVA,BVA,2017-02-01,2017-02-02,955,60,40
OpinionWay,Sondage OpinionWay/ORPI pour Les Echos & Radio Classique,2017-02-03,2017-02-05,1700,61,39
OpinionWay,Sondage OpinionWay/ORPI pour Les Echos & Radio Classique,2017-02-04,2017-02-06,1568,60,40
OpinionWay,Sondage OpinionWay/ORPI pour Les Echos & Radio Classique,2017-02-05,2017-02-07,1487,62,38
Elabe,ELABE pour BFMTV et L’EXPRESS,2017-02-07,2017-02-08,961,56,44
OpinionWay,Sondage OpinionWay/ORPI pour Les Echos & Radio Classique,2017-02-13,2017-02-15,1602,57,43
OpinionWay,Sondage OpinionWay/ORPI pour Les Echos & Radio Classique,2017-02-17,2017-02-19,1534,56,44
