sondeur,source,date début,date fin,échantillon,Emmanuel Macron,Marine Le Pen
Ifop-Fiducial,"Ifop – Fiducial pour iTELE, Paris Match et Sud Radio",2017-01-03,2017-01-06,1860,65,35
Ipsos,Ipsos / Sopra Steria pour France 2,2017-01-20,2017-01-20,1443,64,36
Kantar Sofres,"Kantar Sofres – OnePoint pour Le Figaro, RTL et LCI",2017-01-26,2017-01-27,1032,65,35
Elabe,ELABE pour LES ECHOS et RADIO CLASSIQUE,2017-01-30,2017-01-31,993,65,35
Ifop-Fiducial,"Ifop – Fiducial pour iTELE, Paris Match et Sud Radio",2017-01-29,2017-02-01,1409,63,37
Ifop-Fiducial,"Ifop – Fiducial pour iTELE, Paris Match et Sud Radio",2017-01-30,2017-02-02,1414,63,37
Ifop-Fiducial,"Ifop – Fiducial pour iTELE, Paris Match et Sud Radio",2017-01-31,2017-02-03,1430,63,37
BVA,BVA,2017-01-01,2017-01-02,955,66,34
OpinionWay,"OpinionWay pour Orpi, RADIO CLASSIQUE et LES ECHOS",2017-02-03,2017-02-05,1700,65,35
Ifop-Fiducial,"Ifop – Fiducial pour iTELE, Paris Match et Sud Radio",2017-02-02,2017-02-06,1433,63,37
OpinionWay,"OpinionWay pour Orpi, RADIO CLASSIQUE et LES ECHOS",2017-02-04,2017-02-06,1568,66,34
Ifop-Fiducial,"Ifop – Fiducial pour iTELE, Paris Match et Sud Radio",2017-02-03,2017-02-07,1424,64,36
OpinionWay,"OpinionWay pour Orpi, RADIO CLASSIQUE et LES ECHOS",2017-01-05,2017-02-07,1487,66,34
Ifop-Fiducial,"Ifop – Fiducial pour iTELE, Paris Match et Sud Radio",2017-02-05,2017-02-08,1409,64,36
Elabe,ELABE pour BFMTV et L’EXPRESS,2017-02-07,2017-02-08,961,63,37
